,date,day_of_week,value,day off,national_holiday,weekend,before_holiday,after_holiday,tet_holiday,tavg,tmin,tmax
0,2021-01-01,4,0.20504237361910072,1,1,0,0,0,0,0.20999999999999996,0.4166666666666665,0.25
1,2021-01-02,5,0.3328943785433591,0,0,1,0,1,0,0.31999999999999984,0.33333333333333326,0.33333333333333304
2,2021-01-03,6,0.3484361560664132,0,0,1,0,0,0,0.43000000000000016,0.33333333333333326,0.4166666666666665
3,2021-01-04,0,0.57901003611041,0,0,0,0,0,0,0.48,0.5,0.5
4,2021-01-05,1,0.642649993909377,0,0,0,0,0,0,0.45999999999999996,0.5,0.4166666666666665
5,2021-01-06,2,0.6467984863518883,1,0,0,0,0,0,0.5100000000000002,0.5,0.4166666666666665
6,2021-01-07,3,0.6435394442062781,1,0,0,0,0,0,0.5100000000000002,0.5,0.583333333333333
7,2021-01-08,4,0.6471409035168183,0,0,0,0,0,0,0.45999999999999996,0.5,0.5
8,2021-01-09,5,0.5883489703751195,0,0,1,0,0,0,0.3899999999999997,0.4166666666666665,0.4166666666666665
9,2021-01-10,6,0.4016459784010462,0,0,1,0,0,0,0.31000000000000005,0.33333333333333326,0.25
10,2021-01-11,0,0.5577252109256678,0,0,0,0,0,0,0.33000000000000007,0.33333333333333326,0.4166666666666665
11,2021-01-12,1,0.581532431389397,0,0,0,0,0,0,0.13999999999999968,0.25,0.33333333333333304
12,2021-01-13,2,0.5651356158254777,1,0,0,0,0,0,0.06999999999999984,0.08333333333333326,0.08333333333333304
13,2021-01-14,3,0.5711184001052665,1,0,0,0,0,0,0.18999999999999995,0.0,0.25
14,2021-01-15,4,0.571797053032624,0,0,0,0,0,0,0.26000000000000023,0.25,0.33333333333333304
15,2021-01-16,5,0.5386568330802719,0,0,1,0,0,0,0.2999999999999998,0.25,0.4166666666666665
16,2021-01-17,6,0.3777732077844659,0,0,1,0,0,0,0.2899999999999996,0.33333333333333326,0.4166666666666665
17,2021-01-18,0,0.5220729015300798,0,0,0,0,0,0,0.26000000000000023,0.25,0.33333333333333304
18,2021-01-19,1,0.5784975411713678,0,0,0,0,0,0,0.13999999999999968,0.16666666666666652,0.08333333333333304
19,2021-01-20,2,0.5962018283119339,1,0,0,0,0,0,0.3799999999999999,0.33333333333333326,0.33333333333333304
20,2021-01-21,3,0.6271173363163305,1,0,0,0,0,0,0.41999999999999993,0.5,0.4166666666666665
21,2021-01-22,4,0.6491029058584259,0,0,0,0,0,0,0.33999999999999986,0.5,0.25
22,2021-01-23,5,0.5847470388012304,0,0,1,0,0,0,0.41000000000000014,0.5,0.4166666666666665
23,2021-01-24,6,0.41183088849768923,0,0,1,0,0,0,0.3799999999999999,0.5,0.33333333333333304
24,2021-01-25,0,0.571484094605935,0,0,0,0,0,0,0.41999999999999993,0.5,0.4166666666666665
25,2021-01-26,1,0.621841304633169,0,0,0,0,0,0,0.48,0.583333333333333,0.5
26,2021-01-27,2,0.6312575536554921,1,0,0,0,0,0,0.43999999999999995,0.5,0.5
27,2021-01-28,3,0.6168028581461844,1,0,0,0,0,0,0.3899999999999997,0.5,0.5
28,2021-01-29,4,0.6887411756412567,0,0,0,0,0,0,0.3799999999999999,0.4166666666666665,0.5
29,2021-01-30,5,0.5412321008648726,0,0,1,0,0,0,0.3599999999999999,0.25,0.33333333333333304
30,2021-01-31,6,0.39499658390930137,0,0,1,0,0,0,0.41999999999999993,0.5,0.583333333333333
