,date,day_of_week,actual,predicted
0,2024-05-17,Friday,268804606,262060862
1,2024-05-18,Saturday,260562914,247767367
2,2024-05-19,Sunday,227651144,252556575
3,2024-05-20,Monday,259326328,241285947
4,2024-05-21,Tuesday,260929262,261817088
5,2024-05-22,Wednesday,262705625,263901206
6,2024-05-23,Thursday,269057059,262542323
7,2024-05-24,Friday,270185522,255668906
8,2024-05-25,Saturday,267319213,246790837
9,2024-05-26,Sunday,230542856,256486319
10,2024-05-27,Monday,267188187,244583066
11,2024-05-28,Tuesday,275838944,267576384
12,2024-05-29,Wednesday,272568123,270578715
13,2024-05-30,Thursday,265610235,269194854
14,2024-05-31,Friday,253947839,259067596
15,2024-06-01,Saturday,240688547,239732303
16,2024-06-02,Sunday,213177801,240817061
17,2024-06-03,Monday,257576734,228233815
18,2024-06-04,Tuesday,274372327,255446384
19,2024-06-05,Wednesday,280083872,268502116
20,2024-06-06,Thursday,274781832,271080940
21,2024-06-07,Friday,273066384,265713811
22,2024-06-08,Saturday,254287254,249442188
23,2024-06-09,Sunday,216940082,250397896
24,2024-06-10,Monday,247428821,233307849
25,2024-06-11,Tuesday,259597370,250950328
26,2024-06-12,Wednesday,267444364,259003145
27,2024-06-13,Thursday,273805048,262606365
28,2024-06-14,Friday,277605936,260438542
29,2024-06-15,Saturday,259236954,250889251
30,2024-06-16,Sunday,209517978,254536747
31,2024-06-17,Monday,254340379,235171229
32,2024-06-18,Tuesday,269119561,256044921
33,2024-06-19,Wednesday,272934016,264483977
34,2024-06-20,Thursday,269349433,266340121
35,2024-06-21,Friday,260073623,258908320
36,2024-06-22,Saturday,243281955,239121044
37,2024-06-23,Sunday,200795861,238501572
38,2024-06-24,Monday,241895942,218966351
39,2024-06-25,Tuesday,250463268,239196172
40,2024-06-26,Wednesday,256669712,247084217
41,2024-06-27,Thursday,258033024,250264996
42,2024-06-28,Friday,251911281,244821422
43,2024-06-29,Saturday,241362551,231940503
44,2024-06-30,Sunday,210618647,236299911
45,2024-07-01,Monday,247323938,225892133
46,2024-07-02,Tuesday,260737223,248394972
47,2024-07-03,Wednesday,252152731,257427726
48,2024-07-04,Thursday,252014508,253442471
49,2024-07-05,Friday,248699737,243548946
50,2024-07-06,Saturday,246589143,229677800
51,2024-07-07,Sunday,216460752,237654978
52,2024-07-08,Monday,252180807,226905011
53,2024-07-09,Tuesday,264213963,249905327
54,2024-07-10,Wednesday,258293433,258424066
55,2024-07-11,Thursday,256119575,256054292
56,2024-07-12,Friday,251743593,246160495
57,2024-07-13,Saturday,244864101,230759183
58,2024-07-14,Sunday,204153799,233978891
59,2024-07-15,Monday,240893257,216903939
