date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,25.1,23,30,,,28,11.8,,1011.3,
2021-01-02,26.2,22,31,,,3,10.2,,1010.5,
2021-01-03,27.3,22,32,,,357,6.8,,1009.8,
2021-01-04,27.8,24,33,,,39,7.7,,1009.4,
2021-01-05,27.6,24,32,,,31,6.4,,1009.8,
2021-01-06,28.1,24,32,,,71,7.3,,1008.8,
2021-01-07,28.1,24,34,,,57,7.1,,1008.3,
2021-01-08,27.6,24,33,,,355,5.9,,1008.2,
2021-01-09,26.9,23,32,,,37,7.1,,1009.3,
2021-01-10,26.1,22,30,,,351,6.4,,1010,
2021-01-11,26.3,22,32,,,347,7.1,,1010.6,
2021-01-12,24.4,21,31,,,11,10.4,,1011.3,
2021-01-13,23.7,19,28,,,323,7.3,,1011.7,
2021-01-14,24.9,18,30,,,230,6.1,,1011.1,
2021-01-15,25.6,21,31,,,97,7.2,,1009.5,
2021-01-16,26,21,32,,,44,8.7,,1009.7,
2021-01-17,25.9,22,32,,,59,10.1,,1011.1,
2021-01-18,25.6,21,31,,,29,10.2,,1011.6,
2021-01-19,24.4,20,28,,,317,6.7,,1011.3,
2021-01-20,26.8,22,31,,,280,6.1,,1010.5,
2021-01-21,27.2,24,32,,,236,8.3,,1009.8,
2021-01-22,26.4,24,30,,,211,8.9,,1009.6,
2021-01-23,27.1,24,32,,,123,8.1,,1009.9,
2021-01-24,26.8,24,31,,,139,8.5,,1010.5,
2021-01-25,27.2,24,32,,,92,7,,1010,
2021-01-26,27.8,25,33,,,90,6.9,,1009.2,
2021-01-27,27.4,24,33,,,92,7.8,,1009.3,
2021-01-28,26.9,24,33,,,64,7.8,,1010.6,
2021-01-29,26.8,23,33,,,17,7.9,,1011.2,
2021-01-30,26.6,21,31,,,340,6.1,,1011.5,
2021-01-31,27.2,24,34,,,29,7.4,,1011.6,
2021-02-01,27,24,33,,,64,8.2,,1011.8,
2021-02-02,26.8,23,33,,,69,8.8,,1012.2,
2021-02-03,26.6,23,31,,,170,6.8,,1011.8,
2021-02-04,28,22,33,,,331,6.5,,1012.1,
2021-02-05,27.5,25,32,,,269,8,,1011.1,
2021-02-06,27.8,24,33,,,235,6.6,,1010,
2021-02-07,27.1,24,31,,,273,6.8,,1010,
2021-02-08,26.3,24,32,,,117,8.6,,1009.9,
2021-02-09,28.2,25,33,,,148,7.4,,1008.9,
2021-02-10,28.4,25,31,,,108,7.6,,1009.2,
2021-02-11,26.3,25,28,,,191,7.1,,1010.2,
2021-02-12,26.4,24,32,,,158,8.6,,1011.2,
2021-02-13,24.1,23,31,,,138,9.1,,1011.9,
2021-02-14,24.9,23,30,,,148,10.3,,1012.7,
2021-02-15,25.1,21,30,,,142,9.4,,1011.4,
2021-02-16,25.6,22,31,,,149,12.8,,1010.8,
2021-02-17,26.5,22,32,,,127,10.1,,1011.8,
2021-02-18,26.4,21,31,,,356,5.5,,1013.2,
2021-02-19,28.8,21,33,,,34,8.1,,1013.1,
2021-02-20,26.8,22,33,,,93,7.3,,1012.5,
2021-02-21,23,22,33,,,0,8.4,,1011.9,
2021-02-22,25.7,23,31,,,158,10.8,,1011.4,
2021-02-23,26.7,22,32,,,107,9,,1010.1,
2021-02-24,26.8,24,32,,,170,10.3,,1009.2,
2021-02-25,27.3,23,32,,,174,9,,1007.7,
2021-02-26,28,25,33,,,166,10.6,,1006.6,
2021-02-27,28.1,26,33,,,156,10,,1007.3,
2021-02-28,28.6,25,34,,,134,14.7,,1008.8,
2021-03-01,29.1,25,34,,,140,14.4,,1011.5,
2021-03-02,28.7,25,34,,,138,13.2,,1011.3,
2021-03-03,29.1,25,34,,,119,10.5,,1011.1,
2021-03-04,29.3,25,36,,,118,14.4,,1011.6,
2021-03-05,28.6,24,36,,,131,16.9,,1011.4,
2021-03-06,29.1,23,35,,,133,10.4,,1011.9,
2021-03-07,29.1,25,35,,,145,14.1,,1011,
2021-03-08,29.2,25,35,,,115,10.2,,1011.6,
2021-03-09,29.1,25,35,,,108,11.4,,1011.4,
2021-03-10,29.3,25,35,,,99,9.3,,1011,
2021-03-11,29.7,25,35,,,101,12.2,,1010.9,
2021-03-12,30.1,26,35,,,120,10.3,,1011.2,
2021-03-13,29.2,26,35,,,115,10.1,,1011,
2021-03-14,28.2,24,35,,,105,10.6,,1009.5,
2021-03-15,28.3,25,34,,,148,10.1,,1009.4,
2021-03-16,27.9,25,32,,,149,12.8,,1009.1,
2021-03-17,28.1,25,33,,,147,12,,1009.1,
2021-03-18,28.7,26,32,,,150,12.6,,1008.9,
2021-03-19,29.6,26,34,,,154,12.1,,1008,
2021-03-20,29.1,27,33,,,149,11.5,,1007.2,
2021-03-21,29.4,27,35,,,133,12.1,,1007.5,
2021-03-22,30.4,26,36,,,75,9.2,,1009.4,
2021-03-23,30.3,26,35,,,58,9.6,,1009.3,
2021-03-24,30.7,27,35,,,108,12.1,,1008.7,
2021-03-25,30.3,27,36,,,112,11.2,,1008.6,
2021-03-26,29.9,26,36.7,,,119,15.1,,1008.3,
2021-03-27,29.9,27,36,,,129,14.1,,1008.1,
2021-03-28,29.8,26,36,,,140,12.9,,1008,
2021-03-29,29.7,27,35,,,158,10.1,,1007.7,
2021-03-30,29.8,27,36,,,192,10.9,,1006.5,
2021-03-31,30.2,27,35,,,196,10.9,,1005.5,
2021-04-01,30.6,27,35,,,195,11.9,,1005.6,
2021-04-02,30.4,28,37,,,207,10.4,,1006.4,
2021-04-03,29.7,24,34,,,145,11,,1007.4,
2021-04-04,28.9,27,34,,,150,11.9,,1008.5,
2021-04-05,29.7,26,34,,,120,10.3,,1009.5,
2021-04-06,30.4,26,35,,,120,13.2,,1010,
2021-04-07,30.4,26,36,,,115,10.4,,1010,
2021-04-08,28.7,27,33,,,121,10.5,,1009.3,
2021-04-09,28.6,26,31,,,156,10.1,,1009.5,
2021-04-10,29.5,26,34,,,105,8.3,,1010.8,
2021-04-11,29.6,27,35,,,127,12.3,,1011.6,
2021-04-12,29.4,26,35,,,124,11.4,,1011.7,
2021-04-13,29.9,27,34,,,144,12.7,,1010.8,
2021-04-14,29.2,28,35,,,169,10,,1010.4,
2021-04-15,29.4,24,35,,,200,7.8,,1009.4,
2021-04-16,27.9,22,34,,,189,11.2,,1009.6,
2021-04-17,28.7,25,33,,,164,7.2,,1011,
2021-04-18,28.3,25,32,,,183,9.3,,1010.8,
2021-04-19,28.4,26,33,,,203,7.8,,1009.5,
2021-04-20,30.1,26,34,,,228,7.5,,1009.1,
2021-04-21,29.2,27,33,,,225,10.5,,1008.8,
2021-04-22,27.7,24,32,,,239,8.1,,1009,
2021-04-23,28.2,25,33,,,258,8.3,,1008.2,
2021-04-24,29.2,26,34,,,203,7.9,,1008.2,
2021-04-25,29.8,26,34,,,230,9.5,,1008.9,
2021-04-26,30.6,27,35,,,199,10.1,,1008.5,
2021-04-27,29.7,27,34,,,168,9.4,,1010.1,
2021-04-28,30.1,27,34,,,127,11.7,,1010.8,
2021-04-29,30.2,28,35,,,121,11.6,,1010.3,
2021-04-30,30.6,28,35,,,122,12.9,,1010,
2021-05-01,30.6,28,34,,,127,14,,1010,
2021-05-02,30.9,28,36,,,132,14.5,,1009.4,
2021-05-03,30.7,28,35,,,126,13.5,,1007.9,
2021-05-04,31.4,27,36,,,106,10.5,,1007.3,
2021-05-05,31.7,28,37,,,110,14.9,,1007.4,
2021-05-06,29.4,26,36,,,87,13.4,,1009.4,
2021-05-07,30.2,25,34,,,32,9.5,,1010,
2021-05-08,29.3,27,34,,,108,6.8,,1008.8,
2021-05-09,30.9,28,36,,,132,11.6,,1008,
2021-05-10,30.9,28,34,,,147,11.5,,1007.8,
2021-05-11,31.1,28,35,,,154,10.7,,1007.3,
2021-05-12,30.9,28,35,,,146,7.9,,1006.9,
2021-05-13,31.3,29,36,,,129,9,,1006,
2021-05-14,30.6,29,34,,,143,10.8,,1006.4,
2021-05-15,28.5,27,34,,,111,7.9,,1007.3,
2021-05-16,30.9,26,36,,,131,8.5,,1006.9,
2021-05-17,28.8,26,34,,,152,8.3,,1007.7,
2021-05-18,29.6,26,34,,,181,7.7,,1008.3,
2021-05-19,28.9,27,35,,,216,6.5,,1007.6,
2021-05-20,31.3,26,35,,,198,6.8,,1007.6,
2021-05-21,28,25,34,,,218,7.8,,1007.6,
2021-05-22,27.9,25,33,,,252,10.2,,1007,
2021-05-23,27.1,25,32,,,252,8.7,,1006.6,
2021-05-24,27.1,25,30,,,293,8.7,,1007.3,
2021-05-25,24.8,23,28,,,260,5.7,,1008.1,
2021-05-26,27.4,24,30,,,241,8.3,,1007.9,
2021-05-27,27.4,25,31,,,203,5.9,,1008.2,
2021-05-28,29.4,26,33,,,195,6.3,,1009.5,
2021-05-29,29.3,26,34,,,212,8.5,,1009.3,
2021-05-30,30.8,26,35,,,249,7.2,,1007.8,
2021-05-31,30.9,27,34,,,264,12.6,,1006.4,
2021-06-01,29.8,28,34,,,240,10,,1006.8,
2021-06-02,28.4,24,34,,,227,9.1,,1007.4,
2021-06-03,30.4,26,35,,,254,8.3,,1008,
2021-06-04,31,27,35,,,245,11,,1007.6,
2021-06-05,29.9,27,35,,,243,14.2,,1007.9,
2021-06-06,28.8,27,33,,,241,11,,1007.9,
2021-06-07,28.1,24,33,,,235,16.9,,1008.4,
2021-06-08,26.1,24,29,,,235,9.2,,1009.4,
2021-06-09,28.3,25,32,,,237,9.9,,1008,
2021-06-10,28,26,32,,,261,13.6,,1006.9,
2021-06-11,28.1,25,32,,,272,13.2,,1005.8,
2021-06-12,28.2,25,32,,,258,16.3,,1007.4,
2021-06-13,29.1,26,32,,,246,15.6,,1008.2,
2021-06-14,28.8,27,34,,,249,14.3,,1008.4,
2021-06-15,27.4,25,32,,,250,9.3,,1007.8,
2021-06-16,29.3,26,33,,,262,9.5,,1009,
2021-06-17,29.3,25,35,,,276,7.3,,1009.6,
2021-06-18,30.2,26,34,,,269,8.9,,1009.9,
2021-06-19,29.7,27,34,,,243,11.4,,1009.2,
2021-06-20,29.3,26,35,,,253,12.2,,1008,
2021-06-21,28.9,25,32,,,241,14.5,,1007.6,
2021-06-22,28,25,32,,,233,14.6,,1008.7,
2021-06-23,28.1,25,32,,,243,11.7,,1009.2,
2021-06-24,29.7,26,33,,,254,9.6,,1007.9,
2021-06-25,29.2,26,34,,,226,11.5,,1007.5,
2021-06-26,29.8,27,33,,,200,10.3,,1008.9,
2021-06-27,30.6,27,35,,,228,10.6,,1009.8,
2021-06-28,30.4,27,35,,,241,13.9,,1008.8,
2021-06-29,30.4,27,35,,,226,10,,1007.9,
2021-06-30,29.4,27,34,,,233,11.4,,1008.4,
2021-07-01,30.3,27,35,,,225,12,,1008.5,
2021-07-02,30.9,28,35,,,238,12.3,,1008.5,
2021-07-03,30.7,27,36,,,249,9.2,,1007,
2021-07-04,28.8,27,32,,,225,10,,1006.3,
2021-07-05,27.1,25,31,,,228,7.5,,1005.9,
2021-07-06,27.6,25,31,,,241,11.4,,1005.8,
2021-07-07,27.7,25,34,,,233,12.3,,1007.1,
2021-07-08,27.3,25,31,,,239,11.2,,1007.6,
2021-07-09,28.1,25,31,,,212,12.4,,1007.2,
2021-07-10,29.7,26,33,,,169,9.2,,1007.3,
2021-07-11,30.1,27,35,,,164,7.7,,1008.5,
2021-07-12,29.3,26,35,,,140,8.7,,1008.5,
2021-07-13,29.1,25,34,,,139,6.7,,1007.5,
2021-07-14,28,25,33,,,203,7.4,,1006.9,
2021-07-15,26.8,25,32,,,261,8.2,,1008.1,
2021-07-16,29.2,24,34,,,291,9.6,,1009.4,
2021-07-17,29.6,26,33,,,277,13.2,,1007.4,
2021-07-18,27.7,26,33,,,263,17.7,,1006.3,
2021-07-19,26.4,22,33,,,266,11.4,,1007.6,
2021-07-20,27.6,25,33,,,254,9.7,,1008.5,
2021-07-21,27.6,26,31,,,246,17.3,,1008,
2021-07-22,27.2,23,32,,,240,15.2,,1007.7,
2021-07-23,27.2,23,30,,,245,14.3,,1006.9,
2021-07-24,29,27,33,,,252,21.5,,1006.6,
2021-07-25,27.4,24,32,,,250,15.6,,1007.6,
2021-07-26,29,26,33,,,248,18.8,,1006.8,
2021-07-27,27.3,25,33,,,250,18.4,,1006,
2021-07-28,27.6,25,31,,,257,18.2,,1005.8,
2021-07-29,26.4,25,32,,,242,14.8,,1007,
2021-07-30,28.7,25,32,,,250,16.3,,1007.7,
2021-07-31,29.6,26,33,,,248,18.4,,1007.7,
2021-08-01,28.8,26,34,,,251,18.9,,1006.5,
2021-08-02,28.8,26,32,,,249,20.3,,1007,
2021-08-03,29.4,27,32,,,250,22.8,,1007.6,
2021-08-04,28.8,27,33,,,253,20,,1008.3,
